0: Birth: 0
56001100: Birth: 1
83999900: Food Made: 1097
83999900: Food Made: 1098
83999900: Food Made: 1099
83999900: Food Made: 1100
83999900: Food Made: 1101
83999900: Food Made: 1102
83999900: Food Made: 1103
83999900: Food Made: 1104
83999900: Food Made: 1105
83999900: Food Made: 1106
83999900: Food Made: 1107
83999900: Food Made: 1108
83999900: Food Made: 1109
83999900: Food Made: 1110
83999900: Food Made: 1111
83999900: Food Made: 1112
83999900: Food Made: 1113
83999900: Food Made: 1114
83999900: Food Made: 1115
83999900: Food Made: 1116
83999900: Food Made: 1117
83999900: Food Made: 1118
83999900: Food Made: 1119
83999900: Food Made: 1120
83999900: Food Made: 1121
83999900: Food Made: 1122
83999900: Food Made: 1123
83999900: Food Made: 1124
83999900: Food Made: 1125
83999900: Food Made: 1126
83999900: Food Made: 1127
83999900: Food Made: 1128
83999900: Food Made: 1129
83999900: Food Made: 1130
83999900: Food Made: 1131
83999900: Food Made: 1132
83999900: Food Made: 1133
83999900: Food Made: 1134
83999900: Food Made: 1135
83999900: Food Made: 1136
83999900: Food Made: 1137
83999900: Food Made: 1138
83999900: Food Made: 1139
83999900: Food Made: 1140
83999900: Food Made: 1141
83999900: Food Made: 1142
83999900: Food Made: 1143
83999900: Food Made: 1144
83999900: Food Made: 1145
